IdCarrera,Carrera
11,MEDICINA HUMANA
15,NUTRICION
22,DERECHO
23,CIENCIA POLÍTICA
31,LITERATURA
33,FILOSOFÍA
35,COMUNICACIÓN SOCIAL
39,CONSERVACIÓN Y RESTAURACIÓN
41,FARMACIA Y BIOQUÍMICA
51,ODONTOLOGÍA
612,EDUCACIÓN PRIMARIA
613,EDUCACIÓN SECUNDARIA
62,EDUCACIÓN FÍSICA
72,INGENIERÍA QUÍMICA
81,MEDICINA VETERINARIA
91,ADMINISTRACIÓN - LIMA
92,ADMINISTRACIÓN DE TURISMO - LIMA
93,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - LIMA
95,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA
101,CIENCIAS BIOLÓGICAS
102,GENÉTICA Y BIOTECNOLOGÍA
103,MICROBIOLOGÍA Y PARASITOLOGÍA
111,CONTABILIDAD - LIMA
122,ECONOMÍA PÚBLICA
123,ECONOMÍA INTERNACIONAL
142,ESTADÍSTICA
145,COMPUTACIÓN CIENTÍFICA
151,HISTORIA
155,TRABAJO SOCIAL
162,INGENIERÍA GEOLÓGICA
165,INGENIERÍA DE MINAS
167,INGENIERÍA CIVIL
168,INGENIERÍA AMBIENTAL
169,ARQUITECTURA Y URBANISMO
171,INGENIERÍA INDUSTRIAL
181,PSICOLOGÍA
193,INGENIERÍA DE TELECOMUNICACIONES
194,INGENIERÍA BIOMÉDICA
201,INGENIERÍA DE SISTEMAS
202,INGENIERÍA DE SOFTWARE
203,CIENCIA DE LA COMPUTACIÓN
